user,media,score/10,date,review_spoiler,review_heading,review_text
JustBe333,Ghost Team (2016),1,2019/04/15,FALSE,Do not bother,"I tried to watch this on Netflix and I actually managed to finish it after trying three times . I couldn't determine if it was a comedy because it seemed like it was going to be, or a horror movie because that appeared to be where it was shifting . In the end it was just completely pointless, poorly written and a waste of some good cast members. Do not bother. It's pointless and not in the good way. I think those positive reviews are lies."
heleneulv,The Substance (2024),8,2025/03/03,FALSE,A very sad film about self-love and self-hate,"If you don't tolerate body horror, do NOT watch this.

But under the thick layer of gore, it's a heart-breaking metaphor for self-hate, a story of how the entertainment industry sets expiration dates on women, and how the fear of aging and the hate of your own body destroys you.

A mysterious substance that allows you to create a better, younger, prettier version, if only you manage to maintain the balance. But when everything you hate so much about yourself is physically separated from you, how could you possibly treat it with compassion?

Since we know the protagonist is doomed from the start, I found the ending a bit unnecessarily bloody and long, which is why the rating isn't higher. But definitely recommended."
heleneulv,Bloodride (2020),7,2023/09/26,FALSE,Rating should be higher,"No idea why the bus is involved, but this is an anthology of dark stories, a bit similar to ""Inside no. 9"" (though not quite as good). The genre varies nicely: from classic supernatural horror to psychological thriller. It's not exceedingly gory, and doesn't have jump scares.

Karakterdrap, I thought, was wonderful. For the other episodes something that makes the rating 7 rather than 8 or 9 is that some of the twists are a little half-baked. First, some of them become obvious a little earlier than the plot suggests they should. Second - and most important - after we see the twist, there's not enough time and context given to fully appreciate it. It's missing the foreshadowing that would make you go ""oooh... that explains that little detail earlier"". At the same time it doesn't spend any time after the twist to show the alternative side of the story that we hadn't seen (it's usually just given in one or two sentences), so I'm often left with questions that I wish were explored a little more."
heleneulv,The Consultant (2023),5,2023/03/03,TRUE,I think this was written by a drunk AI,"Ok, ok, I know it's actually based on a book, but while having the shape of a thriller and various terrifying details, there's absolutely no logical connection between anything in this show.

Everyday reality details don't make sense: IT job market is pretty good and there's no reason for the characters to clutch at their jobs for the devil or whatever.

Magic details don't make sense either: how is lifting yourself to get up the stairs more difficult than lifting yourself after tying your shoes? Or out of a car?

Most details of the plot are left hanging, and the sweet ending makes zero sense.

The only reason it's 5 and not lower is, just because it was so bizarre, I watched the whole thing."
heleneulv,Glass Onion (2022),8,2023/02/02,FALSE,I don't know why people keep trashing it,"I loved it.

I am not the most picky movie watcher, but I'm a lot more picky that most of my friends, and I always feel lost in a huge garbage pile of sequels, prequels, cinematic universes, and nostalgia cash grabs.

This movie is great. It's sufficiently different from the first one, while at the same time keeping the colorful style of ""Knives Out"". The jokes and parodies are not too on the nose, the acting is good. The story is just far-fetched enough to satisfy a lover of whimsical detective mysteries, but not too far-fetched to leave you feeling deceived. Small details revealed earlier tie in nicely with the twists and turns of the plot.

If you go in expecting some kind of classic Agatha Christie whodunnit, then maybe your expectations won't be met. But if you, like me, enjoy movies that don't take themselves too seriously, then you might just be pleasantly surprised."
heleneulv,The Peripheral (2022),6,2022/11/26,FALSE,Masquerading as good,"I was tricked at first. The premise seemed great: a huge beautifully designed sci-fi world with a hint of dystopia, based on a book by an acknowledged author. Good cast, fancy opening credits animation, masterfully choreographed fights... Could have been something like Altered Carbon, or the Expanse, or His Dark Materials: those shows might not have been 10s, but had some undeniably good intrigue and compelling characters.

Here, however, once you strip away the shiny exterior, very little substance remains. The thing that annoys me most is the absolute imperturbability of all the characters. Whether they just learned new information that should have taken them by surprise, or it's their mortal enemy that just entered the room, or they saw something very scary, they're never really surprised, or angry, or frustrated, or confused. They always remain in total control. Every conversation has to start and end with smug and borderline cheesy one-liners and witty comebacks, as if they've spent the past two hours thinking about what they'll say in this unforeseeable situation.

As a result, you can't relate, and you don't really care about what happens to them next. Which is where the second problem comes in: most of the 7 episodes that are out is just exposition. As far as intrigue goes, there is none. What we've learned about the world is interesting, sure, but the story development is so slow and unexciting that I don't feel any anticipation for the next episode.

The quality is still good, so maybe the fans of the book would enjoy seeing this on screen, as they already know and like the story itself... I don't know."
AJx91,The Substance (2024),6,2025/03/03,FALSE,"JPN Gore Fans, Rise Up, This One Is For You","Tldr; ""Strong start, messy finish-JPN gore fans might still enjoy a one-time watch at home.""

It is slightly lethargic, but the opening and mid-acts were marvelous. However, the Final Act/Final Third of the film turns into a downward shiz show. But if you are into Japanese Horror Gore B films, you will love it.

Honestly, the entire film feels like an American take on JPN Gore with a female empowerment message. Yet the final act makes that message unsatisfying.

Speaking of which, this is not for little girls or kids, but plenty of nudity and blood. No hardcore sx scenes though.

Yet I loved the retro EDM-based OST and the acting of the 2 female leads-the supporting cast members also pulled their own weight.

It's worth a one-time watch at home or movie theatres if you get a 2D IMAX version or Dolby Atmos version (but if it's just standard viewing, just pass on it and watch at home)."
AJx91,Everything Everywhere All at Once (2022),6,2022/12/31,FALSE,Comedy Can Be Deal Breaker,"Tldr; Everything Everywhere All at Once is basically a Matrix Multiverse Comedy. The humor can be a deal breaker.

The amount of creativity this film is oozing with is amazing and it even has some great touching moments near the end relating to ""the everything bagel.""

But the deal breaker won't be the main villain's and main protagonist's acting (because they nailed it) or the well done cinematography. The deal breaker for most people, who decide this is a terrible, average, or GOAT film is the Comedy!

If you don't find yourself laughing at the constant humor throughout the film. Trust me, stop watching it, because it won't get better for you. You would be better off watching Matrix. Which is just as action packed and mind bending, just without the humor.

Other than that, as previously stated, everything else about it is perfect."
AJx91,Aladdin (2019),7,2022/10/03,FALSE,A Decent Attempt,"This was a decent attempt at adapting the animated film Aladdin 1992, into a live action film.

The thing I liked most, was the production quality of the music and sound effects, which felt like a billion dollars was put into it. Everything sounds so good going through my speakers. However, the re-composition of the classic songs, was not needed, and the singing was flat at sometimes compared to the original. What they should have done, was just re-record the older music track with that billion dollar production quality, bring back the original singers, and left the musical score alone.

2nd thing I liked most about it, was the colorful aesthetics, costumes, and CGI. Everything felt like it was alive and popped. Acting wasn't bad at all, and the extra romance elements was believable and enjoyable.

The thing I liked least, was the length. The original had a perfect length. This film needs to be edit more.

Lastly, I felt the film was naturally woke, nothing was forced in it."
AJx91,Purple Hearts (2022),5,2022/08/07,FALSE,My Guilty Pleasure,"I like Sofia Carson. So this was easier for me to get through. But the romance was weak in this. Twilight had better chemistry and romance, let alone it doesn't even come close to Kdrama's levels.

2ndly, music was a important part of this movie. But I think they should have given more time to produce and develop the songs. It just wasn't hitting right.

Over all, it wasn't terrible, so a average rating suits it."
AJx91,Mission: Impossible - Rogue Nation (2015),4,2022/06/20,TRUE,Tropes,"It keeps falling into the same tropes. Like killing a female to motivate the male protagonist. It is starting to get played out for me.

I believe you probably would like this more, if you aren't trying to marathon it. Because it ends up feeling fresh for you every time. For example: if you played every hack and slash dynasty warrior game, all the way up to the final one. You will more than likely feel burned out.

I just wish they shake things up more."
ElJay-W,The Substance (2024),2,2025/03/02,FALSE,Most impressive prank ever!,"You are reading this because you are wondering if The Substance is any good. This reviewer is an intelligent, prolific, well-travelled and has a deep palate for mainstream American pop culture ""moviegoer"" movies. I have enjoyed 1000s of movies of every genre.

The most phenomenal thing about The Substance is that this is the first time I've ever felt pranked by the Oscar crowd. The are so many things wrong with this movie that it is hard not to wonder if I have victim to a social experiment orchestrated by an AI bot - (they got me, btw). Everyone promoting this ridiculous nonsense must not have watched the same Demi Moore movie.

I rented this for $6 right after the Oscars and watched it with two friends. As a true moviegoer, I like gore, body horror, even the occasional over-the-top Hollywood preachy piece (if done right). This is trying to be all three and fails so badly, so epically that by the end, we were not only laughing at how stupid it is, but we were all three layers deep into ""how much worse could this get?"" After a two-hour+ marathon of truly remarkable B-movie garbage, I was rooting loudly for the main character's demise and praying for this horrible B-movie's credits to roll.

I will give you the warning I wish I had before I watched this: don't. Just don't. You will never get that time back."
ElJay-W,Moana 2 (2024),6,2024/12/29,FALSE,It's a good one-time trip to the theater with no harm done.,"Moana 2 is perfectly fine - impressively fine. It has all the things a sequel needs, and you can almost hear the studio execs mandate: make it samey enough that it's a ""2nd part of the main character's story/life"" without mutating into something weird.

Moana 2 hits all the checkboxes, expands on the original story and (magically) is also exactly what you expect- which if you remember Disney's track record with sequels, then this is truly amazing. Anything bad said about this is truly nitpicking.

Here's some nits: the songs don't hit the same (high quality, but not bangers). The sister is obnoxiously cute, but considering timing and pacing I get why. The biggest sin is that the antagonists (and there are a few) all have a limp/weak motivation. The beginning is epic and the ending is epic, but the ""why are we doing this again?"" wasn't sold very well AT ALL.

Is it worth the price of admission? Absolutely. By all accounts it is a fine time at the movie theater for everyone. It's good to see Moana's world again and she is definitely more than she was in the original movie.

Moana 2 may not be on ""repeat"" for many adults but Disney did no harm making this sequel and considering their track record that's the real achievement."
ElJay-W,Top Gun: Maverick (2022),8,2022/05/29,FALSE,"Well done, entertaining ""Top Gun Anniversary"" celebration!","Excellent moviemaking! Some fun for nearly everyone. Story of a man who is the undeniably the GOAT, proving that he's still got it and whipping the young bucks into shape to be the next generation. They should NOT make more, but this was great.

Some quick ""is this worth it?"" math... Tom Cruise running? Check. OK, we're good. Because everyone knows - Tom Cruise has *never* made a good movie where he wasn't running.

All the obligatory TC ""Man of Action"" requirements are met: authentic stunt work, motorcycle, planes (obvi), some form of PG-Rated PDA with the girl... all set to a good soundtrack.

Ample homages to the VHS source material as well (so much so that you don't need to re-watch it, thank you) without insulting anyone's memory of intelligence - yay!

Some genuine tear-jerking moments here (Val Kilmer, man), a well as some uniquely military-based fun, a ""dad"" moment or two and a weird ""immortal grown teenager"" scene that made me laugh for lots of reasons and it's a wrap: traditional old-school movie gold, truly.

Oddly enough, the best thing TG:M did here was to advertise the next Tom Cruise movie - Mission Impossible 146 (or whatever). I now can't WAIT to see that.

Bottom line? Go see it in the theater and get popcorn."
ElJay-W,Bloodshot (2020),6,2020/05/15,FALSE,Sometimes you just want junk food. This delivers.,"Bloodshot is exactly as a comic book action movie should be and nothing more: overcolored eye candy, cast with the right good guy (typical Vin), cast with the right bad guy (typical Guy Pearce), an easily-digestable twist, bad guys get theirs... annnd pose! Cue the sunset. Cut/print. Sometimes you just want junk food. This delivers. I'm happy. You happy?"
ElJay-W,Men in Black: International (2019),3,2019/06/19,FALSE,Shameful Rehashed Frankenformula. Don't Bother.,"This movie was utterly and completely pointless and a horrible mess of a plot. I did not laugh once and barely even smiled. Unlike previous MIBs there was no comedy and zero chemistry between Hemsworth and Thompson.

There were clear checkboxes the moviemakers wanted to hit: big, world-ending alien (check), bigger, shinier guns (check), upgraded scene of weird aliens walking around MIB HQ (check), transforming MIB car (check), flashy-thing antics (check). It's like they gave the assignment to a college kid, that kid spat out the new Franken-screenplay and the producers just threw a half-dozen A-list actors into the roles and just ran with it. For the actors involved, this was an unabashed money grab - they didn't even have to change clothes! Just some green screen work and a few dozen lines. Other than that, it could've been a Saturday morning CGI cartoon. Shameful. Don't bother with this one. It's not even worth the $2 Redbox IMHO."
joeyhumble,The Substance (2024),9,2025/02/28,FALSE,Grotesque psycho sci-fi,"My wife gave it a 10/10 and me (a man) would give it a 7/10. It speaks to the psychological distress that people, more often women, feel as they age and drives them to take drastic and expensive actions to turn back the clock. It's very well shot, well acted and is thought-through with a complete finale. The horror elements aren't scary but are brutal in a stomach churning and grotesque manner. It's a strong modern fable of how superficiality can wreck your authenticity. Only real criticism is it could do with a more iconic sound track and score. The directors skill shines when she brings out r�vulsive vibes from mundane activities such as cooking and eating which foretell the shocks to come. The gore and tension is pushed to the nth degree until it becomes intentional hysterical and hillarious. I am giving it a 9/10 as it certainly speaks to a female experience that I rely on my wife to interpret and she thought it was great."
joeyhumble,Mermaid in Paris (2020),6,2024/10/27,TRUE,Stylish but vapid,"It's a fairytale movie with a quaint and elegant production design but the story lacks any depth and the main characters don't really grow. The mermaid knows she has killed many men with her song but she doesn't regret the fact that technically she is a serial killer and in the film we are implored to sympathise with her. That being said; the songs, props and performances are good. However the mermaid does look like a stunning actress with a fake tail; she's not a strong swimmer. The real hero of the movie is the female doctor, but we don't find out how her story concludes. The movie has many plot holes and logical leaps but I suppose we must forgive these because, it's about mermaids and therefore we suspend our doubts.

I watched this film on DVD with French subtitles so forgive me if I missed something but it didn't seem to have much of a plot."
joeyhumble,Whiplash (2014),4,2016/01/09,TRUE,faux-realistic claptrap about student abuse,"This movie to be has major contradiction at the heart of it: the direction which is realistic and and the character of Terrence Fletcher who is about the most unlikely and unbelievable persona I have ever seen on film. As a academic who has worked in three universities I have seen aggressive and bullying teachers who bully and Terrence fletcher, who lies, screeches and physically assaults his students repeatedly within the first 30 minutes of the movie, would have been fired within a few months of his first contract.

This movie is a child of our times where in American (and British) television and Cinema, antihero adoration has become the established norm (see ""House"" and ""breaking bad""), yet presentation of role models or sympathetic lead roles is considered clich�. Movies are considered art as long as they make the audience feel something ANYTHING even if it's profound discomfort. When I watched this movie I felt like turning it off. So does this make it art? If it is then I would rather be low brow."
joeyhumble,"All Watched Over by Machines of Loving Grace: The Use and Abuse of Vegetational Concepts (2011)
Season 1, Episode 2",8,2014/10/13,FALSE,Food for thought,"Here Adam Curtis weaves together a historical and cognitive tapestry of intrigue and humanity. Typical of his documentaries, he takes a influential school of thought and uses archival news and television clips combined with contemporary interviews to unpack and explain the theory (here its ecological stability and computer systems), he then shows the profound impact of the idea throughout history in many aspects of political and cultural changes inspired by the idea. Personally, his take on the misuse of the idea of the balance of nature to be spot on. The misconception being that if humans can mimic the natural order by removing all authoritarian power all people interacting as inter-regulating nodes exchanging ideas and services then this can create a better society. Unfortunately this idea takes into no account of human selfishness and fails to appreciate that the ecosystem this is modeled upon is actually chaotic and involves unfairness and destruction. My only qualm is that he failed to mention that there are aspects of the ""balance of nature"" model which have stood the test of time, namely that predators do regulate the abundance of prey, yet still this is not a system suitable to model a fair society on."
