"user","media","score/5","date","---","review_heading","review_text"
"smaister","65daysofstatic - We Were Exploding Anyway (2010)",4.5,"2015/12/01",,,"My favourite album by the 65s. More electronic and upbeat than anything else they've done (though still plenty of guitar action), this is infectiously groovy and bounds along at a breathless pace. Whilst being a great blend of stompy breakbeaty/idm stuff and the epic post-rocks, for me it transcends analysis, oozes positivity and is all about being totally lost in the moment...swept away by one of those big waves that life randomly throws at you.

Also, dat cover.
4.3*"
"smaister","3T?ETH - R?MIXED (2014)",2,"2015/05/10",,,"Many good atmospheric tracks here but falls into the usual (avoidable) trap of remix albums - too many similar remixes of the same songs. In this case we have 15 remixes of only 5 unique tracks, and they're all grouped by source - so when the fourth version of Pearls2Swine in a row starts up, you're about to defenestrate the hifi. This is basically unlistenable as an album.

Why not choose some remixes of your other tracks, or choose the best and make an EP instead of an album? NO LOL WE LIEK REMIXEZ"
"smaister","Adele - 21 (2011)",2.5,"2012/09/17",,,"Obviously there's the voice. Other than that...occasional flashes of purity and an impressive talent, for the most part swallowed up by the production and schmaltz. I prefer the big epic tracks like Set Fire to the Rain and Rolling in the Deep; if it's going to be overblown pop with a shiny production then I want it to be huge...really huge. The cover of Lovesong is too obvious and somewhat tedious when taken in the context of the other tracks; at this point in the album there is a substantial weary feeling induced by the simplistic lyrical themes, seemingly single-minded subject matter (just get over him already, girl) and clinical arrangements. This is no doubt a product of her age and pop producers, noting her raw talent, having assigned a target market, proceeding to squeeze as many sentimental ballads as possible into the album.

The album picks up at the end for the (thankfully) wonderfully stripped down Someone Like You, which is pretty devastating and probably the highlight here. I hope in a few years she'll have some more experiences to draw on and the ability to take more control of the writing process. She certainly could benefit a slightly more raw production, at the very least."
"smaister","Lady Gaga - The Fame (2008)",2.5,"2011/06/05",,,"Ok, so I was wrong about Gaga. She's actually pretty decent as far as pop goes, and I don't find her singles anywhere near as irritating as I once did."
"smaister","Nine Inch Nails - With Teeth [Limited Tour Edition] (2005)",3.5,"2010/05/31",,,"Certainly far from the best NIN release, but quite decent and has some good memorable tracks on it. This version has a bonus DVD with 5.1 mix of the album, and it lifts the music to the extent where one can't help but think that some of these tracks were written to be played on a surround system.

Whilst just falling short of essential listening, the surround version displays a mastery of the additional space, making most tracks (especially those with significant electronic sections) feel a lot less flat and anaemic, whilst providing an elevated sense of dynamics for the album as a whole. Highly recommended for NIN fans who have access to the necessary equipment.

3.7*"
"smaister","Various Artists - Resident Evil (2002)",4,"2009/12/12",,,"One of my favourite metallic film soundtracks. This is loud, cheesy, dumb and lots of fun. Even Coal Chamber manage to produce a track that is not only decent but works well with the album as a whole."
"smaister","My Dying Bride - Evinta (2011)",3,"2011/06/14",,,"Some great moments spoilt somewhat by the vocals - especially the operatic stuff. For some idea of what this _could_ have been like, look no further than the ambient closer A Hand of Awful Rewards: certainly a bit one-dimensional when compared to the best ambient, but definitely a winner compared to the vocal-heavy tracks.

Regardless of the flaws here, it's good to see them trying something different.

3.1*"
"freeukmusic","65daysofstatic - We Were Exploding Anyway (2010)",3.5,"2012/03/19",,,"This is a strange one, I love post rock soundscapes and electronics noise. This was the first thing I have ever listened to by 65daysofstatic. As I had no pre-conception or prior knowledge of their earlier work, I loved it! It is experimental and very unique, sure some things don't really work, but good on you fellas for trying and letting us hear the results. I feel here in RYM, there is a sense of ownership and betrayal sometimes, this is unwarranted and projects nonsensical expectations on bands by their fans. Most bands need to evolve and it is good to listen to them do so. So for those about to post-rock we salute you!"
"freeukmusic","AC/DC - Back in Black (1980)",5,"2011/06/17",,,"life changing

12 years old, I went to the Leo superstore, bought this with my own cash......went home and put it on the record player.......been headbanging and buying music ever since, my heavily bias opinion, simply excellent, everyone should own this album. "
"freeukmusic","Genesis - Wind & Wuthering (1976)",2,"2022/09/03",,,"Well I did try…

To start, I have to point out, I’m mortally scarred by Phil Colin’s unforgivable 80s tune-age. This was enhanced by sitting round a mate of mine’s house at 13-14 and being forced to listen to Genesis. I was utterly bored. Why can’t we put on some Motley Crue or Twisted Sister? Ok, I haven’t crowned myself in any glory here, I know, but at least it gives context to my prejudice, which I thought I had over come with age.

On hearing Phil Collins voice I am instantly irritated. Now that said, many a respected radio presenters have adoration for the lamb lies down and trick of the tail. So, I thought we’ll at least the very underrated Steve Hackett is in the band, let’s give it another whirl. Whilst browsing records at a car-boot, wind & wuthering was there for a couple of quid, and as this was their last fully prog outing. So why not. Well while the first two track are ok, I still live with my prejudices. Whilst I have grown fond of early 10cc, Phil Collins Genesis is never going to be my thing. That’s not to say it’s a bad album, clearly it’s not and there a many a fair folk that will pay testament to it’s accolades. Sadly not me. There is amazing musicianship at play her, which I appreciate. It just leaves me with nothing as a whole, apart from one for the vine. May be Phil in another life time. "
"freeukmusic","Jlin - Dark Energy (2015)",3,"2018/03/01",,,"Almost works, but not quite

To say that this is a terrible record would be harsh! It has something intangible that make you want to like the record, and for me is linked to the beats and samples which work. Ultimately however, this record ends up being a bit dull, and too repetitive, normally a good thing for a dance record. A bit of a shame! "
"freeukmusic","Kendrick Lamar - Damn. (2017)",4.5,"2018/01/23",,,"Loving it!

I was expecting to be disappointed after pimp your butterfly's soaring heights, but god damn Mr Lamar, you have done it again! Different more commercial with slicker production doesn't detract from the beauty of this album...add to this Kendrick Lamar's ability to capture sentiment and feeling of not just himself but his wider audience sets him out from the crowd. "
"Ruiner123","65daysofstatic - We Were Exploding Anyway (2010)",3,"2011/06/22",,,"It's good if you're in the mood for it, otherwise, it overstays its welcome ten minutes in."
"Ruiner123","Neutral Milk Hotel - In the Aeroplane Over the Sea (1998)",3.5,"2011/07/05",,,"I fucking love ""Holland, 1945"" but other than that I can't really place my finger on why this has been praised to hell and back. I don't hate it, I listened to it a fair share amount of times. Maybe I just don't get it."
"Ruiner123","Koffin Kats - Koffin Kats (2003)",4,"2011/04/27",,,"There was a point where I considered myself a Psychobilly fan. But listening to two bands of the genres (this one and Tiger Army) does not warrant fandom in my opinion. I tried venturing into other Psychobilly, like the renowned Nekromantix, and well, I realized it wasn't to my liking. Still, this is a cult favorite of mine considering it reminds me of 2005 a lot. Whether I'm a fan of the genre or not, this album is still pretty incredible. It has some amazing vocal performances, sung by Vic Victor. Not to mention, the guitar in this work is absolutely incredible. I picked up the guitar the other day after not picking up for a few years and I automatically played the lick to Koffin Kat Rock. And the stand-up bass is absolutely driving. It's their most accessible record, even to people new to the genre. Fans of the band say this is still their best work, so give it a shot."
"Ruiner123","Lady Gaga - The Fame (2008)",2,"2011/04/23",,,"The most telling aspect of The Fame is that it documents Lady Gaga at the callow stage of her career when she was at a crossroads. In the late stages of the 00s, the party girl atmosphere permeated American radio. Lady Gaga, in an attempt to make it big, adhered to this shtick as well and as result, we are treated to such tracks like the popular lead single ""Just Dance,"" ""Boys Boys Boys,"" ""Money Honey,"" and the eponymous track. About 90% of the album is bound to the party girl notion, to the point of ad nauseum. Add to the fact that some of the tracks didn't exactly exhibit Stefani Germanotta's true writing potential, and you're left with an album consisting of a good amount of forgettable tracks and its four unforgettable singles. It's always a turn off when I encounter an album such as this, just a vehicle for the singles. But, repeated listens have since made me realize two things. First and foremost, Gaga does have a knack for writing fun music and has limitless potential; However, these same fun tracks are often pinned together with worthless lyrics and you're left with the sizzle but no steak. But in the end, this isn't a bad thing, after all, this is Pop, you're not exactly expecting Mozartesque songwriting here. But the album's saving grace is its ultimate single, ""Paparazzi,"" the song that hooked yours truly. This song truly shows just the amount of talent Gaga holds as compared to her other Pop contemporaries. Gaga manages to find some sadness and incorporates it into the song subtly. I've often professed that ""Paparazzi"" is a sad song, and having heard it played live three times already I can safely attest to this. There are so many emotions that run through the song, it is criminally underrated as far as music is concerned. Both ""LoveGame"" and ""Poker Face"" are at this point iconic whether it is for their lyrics or for their very distinguishable synth hooks. Yet, the blatant sexual connotations tied to both songs always leave a sour taste in my mouth.Perhaps all her songs may have sexual connotations, but I feel it is in these songs where it is truly excessive.

Nonetheless, just four years later, and The Fame sounds completely dull and dated. With the advent of dubstep, production values have increased tenfold, leaving this collecting dust in our CD bins. It's not secret her popularity is waning at this point and it makes you realize just what made her special in the first place."
"Ruiner123","Avril Lavigne - Let Go (2002)",2,"2013/06/21",,,"2002 was a simpler time. Facebook and Twitter were still years to come. Cell phones were around, but the outrageous price plans made you not only resort to using it when absolutely necessary but also made you resort to communicate physically (the dark ages man, I tell ya.) And Avril Lavigne's safer than Elmer's glue pop/rock was burning up the charts. Ah yes, what a simpler time, when Mtv was still about music (well, that is if you count Slipknot, Linkin Park and Limp Bizkit as music), when P2P sites weren't declared public enemy number one by the president himself. Hell, in 02 our president probably couldn't even turn on a computer, much less use the internet (stick your Twitter account up your ass, Senor Obama.) But damn, now I'm just rambling on, just like Avril does after track 4. ""You mean I have to fill up a whole CD? But I have nothing to fill it up with, just like I have nothing to fill up the pockets of my totally rad cargo pants! Well, I do have some crude demos lying around, I even rap in one of them, LOL! Whaf does LOL mean you ask? It means 'laughing out loud,' I learned it in an AOL Chatroom last week. What's a chatroom? Oh, brother!""

Gosh darn it Two Thousand and Two, I miss you."
"Ruiner123","LCD Soundsystem - This Is Happening (2010)",3.5,"2011/09/04",,,"I always liked the neo-New Order vibe that I personally found in this album. But there were just so many things that drove me away from this album. For one, I never liked his voice. Secondly, it just seemed like masturbation, whether it be musical, lyrical or hell, even creative. It always came off as pretentious and that's really saying something considering I've heard worse albums."
"elchingolense","65daysofstatic - We Were Exploding Anyway (2010)",2,"2010/04/22",,,"I don't like this new one. I support the progression and sound changes in the bands, but We Were Exploding Anyway is a letdown for me. I mean, c'mon, it sounds like a Trance album for moments... and I'm a sucker for the Post-Rock genre, so don't expect hearing any guitar-driven and high-pitched atmospheres like their past releases. What we got here is a predominant electronic influence with hints of clean guitars in the background, and a distorted bass that reminds me of Russian Circles (and that's a good thing). But the excessive use of electronics kinda killed it for me. I guess it's a matter of tastes, you have to give it a try and like/dislike this new sound. If you ask me, The Destruction of Small Ideas is still their weakest effort to date."
"elchingolense","John Murphy - 28 Days Later (2002)",3.5,"2010/07/23",,,"where is my godspeed track fuck you efrim menuck you communist daughter"
"elchingolense","deadmau5 - Random Album Title (2008)",0.5,"2009/10/07",,,"I just wanna know where the heck is the progressive thing on this album. All I hear is the same song over and over again and boring loops extended for sooooooo long. Not even enjoyable as ambient music, get back to 4chan dude."
"elchingolense","Explosions in the Sky - The Earth Is Not a Cold Dead Place (2003)",5,"2008/10/13",,,"A couple of years ago I was very apathetic towards this Texan band. I tried this album and really didn't care for it for many months. The first listen gave me no feelings at all and it left me wondering why many post-rock aficionados enjoyed this thing. I was beginning to think 'did these post-rockers need another gem in their genre other than Godspeed You! Black Emperor and Slint, so they had to choose a good modern post-rock album and decided this was the best the genre could get at that time? because I can't hear anything but ""twinkletwinkletwinkletwinkle"" guitars, marching drums and a simple bassline!' damn I was wrong. The simplicity of this album is definitely its strongest point. Oh, and the beauty of it, of course. Those simple chords helped with loads of reverb and delay create this beautiful sound that made me teary eyed more than once upon the second listen. Yes, you can call me a wimp for crying to Memorial and Your Hand In Mine (I'm especially refering to this track, which I consider one of the best, most moving tracks made by humankind), but I have to thank these guys for making me feel what a few albums could achieve. That is, complete sadness and joy at the same time. Nevertheless, whenever I listen to these tunes, I'm left with a feeling of hope and cheerfulness. Then I can confirm that this record is an emotional rollercoaster that can get you thinking and extract you from reality for less than an hour. How many bands can do that? And who on Earth needs lyrics, by the way?"
"elchingolense","Godspeed You! Black Emperor - ""No Title as of 13 February 2024 28,340 Dead"" (2024)",3,"2024/10/04",,,"My first time listening to this album was during a walk around the city the other day, which is not something I usually do with new releases. I prefer to listen to them at night, on my own, isolated if possible. This time, though, it didn't really make a difference because I knew that it'd not be something special like it often happened in the past with this band, so I went for it nevertheless.

It really didn't do much for me, and it confirmed my suspicions. GY!BE, since their comeback, has sounded very same-y, to my dismay, since I am (was?) a big fan of the band and their previous works. But ever since their comeback, well... their quality has been going down noticeably, and I can't turn a blind eye on it anymore.

'Allelujah! Don't Bend! Ascend! was the last true, full-blown GY!BE experience I can recall. They stuck to that sound and tone after it, and there's nothing wrong with that, but it doesn't do anything for me anymore. Efrim's and Mike's guitar tones have had the same sound ever since, and that's where the same-y adjective comes in full-force. Like other reviewers said, they have been repeating this crescendo formula that goes nowhere ever since, and it worries me. Yes, the buildups are there for sure, and there are good moments here and there, but the explosion never comes. That's a bummer in my book, and it's like they have become a copy of themselves at this point. Look, this is even coming from a guy who likes crescendocore and even encourages it if there's nothing else to expect from it but that; but this is freaking Godspeed we're talking about! And the music here would be fine for a run-of-the-mill post-rock outfit, but not them. It's like the magic is gone, man, and I don't think it's nostalgia speaking this time. I really feel like it's gone for good at this point. I also think that they released this record just for the sake of making a statement, which is fine, too, but again, Yanqui and Zero Kanada are ten times better than this, and they made a statement as well.

If you don't expect anything out-of-this-world from a post-rock record in the late 2024, fine! Take a listen, and you might (you will!) enjoy it! But to me, it feels like this record goes nowhere, and all of the building up just falls flat if we compare it to the rest of the catalogue of this monolithic band."
"elchingolense","The Conet Project - Recordings of Shortwave Numbers Stations (1997)",3,"2021/02/28",,,"Really interesting listen, and scarier than most dark ambient albums. Also, I have no idea how to rate this. "
